<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFLT,D,20100301,000000,55.7000000,56.4400000,55.0100000,55.2500000,288687
AFLT,D,20100302,000000,55.3000000,55.7500000,54.8500000,54.8500000,309745
AFLT,D,20100303,000000,55.1500000,55.5000000,54.3000000,55.1000000,862301
AFLT,D,20100304,000000,55.0000000,55.0000000,54.0600000,54.8000000,768297
AFLT,D,20100305,000000,54.8600000,55.3500000,54.8000000,55.0500000,485527
AFLT,D,20100309,000000,55.0500000,55.6600000,53.5800000,54.4700000,1773534
AFLT,D,20100310,000000,54.4700000,54.8800000,53.8300000,54.3600000,735726
AFLT,D,20100311,000000,54.3200000,54.6000000,53.9800000,54.2500000,750199
AFLT,D,20100312,000000,54.4300000,56.1200000,54.0600000,55.5500000,2203361
AFLT,D,20100315,000000,55.5500000,55.6500000,54.7600000,55.1900000,291763
AFLT,D,20100316,000000,55.2600000,56.7500000,55.1900000,56.3400000,691026
AFLT,D,20100317,000000,56.4900000,57.2400000,56.4000000,57.1500000,1891558
AFLT,D,20100318,000000,57.1200000,60.4000000,57.0000000,59.6200000,4489025
AFLT,D,20100319,000000,60.6000000,61.2000000,59.3000000,60.3000000,1869462
AFLT,D,20100322,000000,59.8900000,60.3000000,58.1100000,59.9100000,1875819
AFLT,D,20100323,000000,60.1400000,61.3600000,60.0600000,61.3400000,2427043
AFLT,D,20100324,000000,61.3400000,61.3900000,60.0100000,61.3000000,3200560
AFLT,D,20100325,000000,61.0100000,61.9800000,60.0200000,61.9000000,969362
AFLT,D,20100326,000000,61.8900000,64.9000000,61.8200000,63.9900000,3194321
AFLT,D,20100329,000000,63.9300000,64.9800000,63.1500000,64.4000000,1536041
AFLT,D,20100330,000000,64.8000000,65.7000000,64.0100000,65.7000000,1362860
AFLT,D,20100331,000000,65.4800000,68.5300000,65.0100000,68.0100000,2762899
AFLT,D,20100401,000000,68.4000000,68.9800000,66.5100000,67.9900000,1104148
AFLT,D,20100402,000000,68.4600000,69.0000000,68.0000000,68.8500000,536063
AFLT,D,20100405,000000,69.0000000,70.2000000,67.9400000,68.3500000,2067801
AFLT,D,20100406,000000,68.4000000,70.5000000,67.4000000,70.1300000,1524550
AFLT,D,20100407,000000,70.3900000,70.8000000,68.6000000,68.9300000,888375
AFLT,D,20100408,000000,68.8900000,68.8900000,66.3100000,66.7000000,1187747
AFLT,D,20100409,000000,67.3500000,68.0000000,67.0000000,67.6700000,1209211
AFLT,D,20100412,000000,67.8000000,68.4000000,65.4600000,66.3000000,685217
AFLT,D,20100413,000000,66.1000000,67.0000000,65.4000000,66.4000000,342054
AFLT,D,20100414,000000,66.5100000,68.1000000,66.4100000,66.7000000,894795
AFLT,D,20100415,000000,67.5000000,67.5000000,64.6000000,65.3000000,677180
AFLT,D,20100416,000000,65.2700000,66.2000000,64.5000000,65.0000000,755400
AFLT,D,20100419,000000,63.2000000,63.5000000,61.1800000,62.2000000,1912078
AFLT,D,20100420,000000,62.3000000,65.0000000,62.3000000,64.0000000,2212142
AFLT,D,20100421,000000,64.6100000,65.7000000,63.0100000,63.0500000,776422
AFLT,D,20100422,000000,63.0400000,63.9800000,60.9900000,62.7000000,890706
AFLT,D,20100423,000000,62.6600000,63.1900000,61.3600000,62.9900000,557929
AFLT,D,20100426,000000,63.7000000,64.8800000,63.1100000,64.0000000,1353857
AFLT,D,20100427,000000,64.0000000,64.0000000,61.8100000,62.7000000,1090757
AFLT,D,20100428,000000,60.7000000,61.8900000,58.5800000,61.0500000,1066265
AFLT,D,20100429,000000,61.4700000,63.5000000,61.2000000,63.0000000,878594
AFLT,D,20100430,000000,63.0100000,63.7900000,62.0000000,62.1700000,857488
AFLT,D,20100504,000000,62.6600000,63.1300000,59.8000000,59.8100000,312542
AFLT,D,20100505,000000,59.4000000,60.2500000,57.0000000,58.1000000,819250
AFLT,D,20100506,000000,58.0800000,58.4900000,56.8000000,58.3200000,1868478
AFLT,D,20100507,000000,57.1900000,57.5000000,54.0400000,54.3700000,1573683
AFLT,D,20100511,000000,56.7500000,57.9700000,55.0900000,55.8000000,446007
AFLT,D,20100512,000000,55.5600000,59.7300000,55.4000000,59.7000000,916901
AFLT,D,20100513,000000,59.8300000,62.8000000,59.5000000,60.2000000,827320
AFLT,D,20100514,000000,59.8000000,60.4000000,57.4100000,58.7000000,1390598
AFLT,D,20100517,000000,57.0000000,59.8000000,55.5100000,59.0000000,343363
AFLT,D,20100518,000000,59.1000000,60.4000000,58.5000000,59.9000000,729909
AFLT,D,20100519,000000,59.5100000,59.5100000,57.1200000,58.3000000,662937
AFLT,D,20100520,000000,58.2100000,59.4700000,57.0800000,57.1100000,656046
AFLT,D,20100521,000000,57.0000000,57.8900000,54.5600000,56.4500000,785524
AFLT,D,20100524,000000,57.0100000,57.1300000,54.9900000,56.0800000,743733
AFLT,D,20100525,000000,54.4500000,54.8900000,53.0100000,53.0600000,376986
AFLT,D,20100526,000000,54.5000000,56.8000000,53.7000000,56.7000000,458234
AFLT,D,20100527,000000,56.5000000,58.7800000,56.2000000,56.7700000,513855
AFLT,D,20100528,000000,57.5000000,57.9900000,56.0300000,56.1700000,306608
AFLT,D,20100531,000000,56.0300000,57.4000000,55.8600000,57.1000000,125741
AFLT,D,20100601,000000,56.9900000,57.4500000,55.1600000,57.4000000,391668
AFLT,D,20100602,000000,56.6000000,61.7100000,56.1200000,60.4500000,834980
AFLT,D,20100603,000000,61.7000000,63.4000000,61.2800000,61.5100000,965139
AFLT,D,20100604,000000,62.0000000,62.1100000,59.0900000,60.2000000,436384
AFLT,D,20100607,000000,58.9500000,59.9000000,57.0000000,58.7200000,356981
AFLT,D,20100608,000000,59.1200000,59.7600000,57.3000000,58.5000000,735991
AFLT,D,20100609,000000,58.8700000,59.4800000,58.4000000,58.7700000,182619
AFLT,D,20100610,000000,59.0700000,61.3000000,58.1500000,59.0000000,320382
AFLT,D,20100611,000000,60.4000000,60.4000000,58.9900000,59.1600000,278923
AFLT,D,20100615,000000,59.7500000,61.7000000,58.7000000,61.3900000,764563
AFLT,D,20100616,000000,61.8900000,62.9000000,60.5100000,60.9300000,302244
AFLT,D,20100617,000000,60.9200000,62.8900000,60.1100000,61.8000000,554047
AFLT,D,20100618,000000,62.1200000,62.8800000,61.9000000,62.4000000,230805
AFLT,D,20100621,000000,63.3200000,64.0000000,62.7300000,63.4900000,732141
AFLT,D,20100622,000000,63.4900000,63.4900000,61.7000000,62.3000000,249669
AFLT,D,20100623,000000,61.8000000,62.2600000,60.2000000,60.5100000,1226426
AFLT,D,20100624,000000,60.9000000,61.7900000,60.0000000,60.7800000,206555
AFLT,D,20100625,000000,60.7800000,60.8000000,59.3100000,59.6900000,419333
AFLT,D,20100628,000000,59.5000000,59.8000000,58.5600000,59.5000000,157139
AFLT,D,20100629,000000,59.4000000,59.8000000,55.7500000,56.0300000,828376
AFLT,D,20100630,000000,56.0300000,57.7000000,56.0000000,57.3400000,443039
AFLT,D,20100701,000000,57.1200000,57.1200000,54.3000000,54.7700000,409550
AFLT,D,20100702,000000,55.2100000,56.0700000,54.8000000,55.6900000,167400
AFLT,D,20100705,000000,55.2100000,57.4500000,55.2000000,57.0500000,115275
AFLT,D,20100706,000000,57.3400000,58.9000000,57.2000000,58.8000000,143452
AFLT,D,20100707,000000,58.2000000,59.5500000,57.2800000,59.0200000,291852
AFLT,D,20100708,000000,59.5800000,61.0000000,59.5000000,59.7700000,369374
AFLT,D,20100709,000000,59.8100000,62.5400000,59.8100000,61.2200000,941614
AFLT,D,20100712,000000,61.6100000,62.9000000,60.9900000,61.5200000,935413
AFLT,D,20100713,000000,61.4200000,62.2500000,60.6400000,62.1500000,583371
AFLT,D,20100714,000000,62.6200000,62.7500000,61.8500000,62.4300000,408151
AFLT,D,20100715,000000,62.2900000,63.1400000,61.4900000,62.2300000,323393
AFLT,D,20100716,000000,62.2900000,62.9800000,62.1000000,62.3900000,265827
AFLT,D,20100719,000000,62.3900000,62.6200000,62.1000000,62.2700000,196595
AFLT,D,20100720,000000,62.4200000,63.0000000,61.7900000,61.7900000,488264
AFLT,D,20100721,000000,62.1400000,62.3500000,61.5700000,61.8500000,344788
AFLT,D,20100722,000000,61.7000000,62.1000000,60.9200000,61.4000000,619697
AFLT,D,20100723,000000,61.3000000,62.2300000,61.3000000,61.7500000,915256
AFLT,D,20100726,000000,61.7700000,61.9000000,61.2200000,61.4800000,118230
AFLT,D,20100727,000000,61.4900000,61.5900000,60.6500000,60.7500000,1041680
AFLT,D,20100728,000000,61.0000000,61.2300000,59.5200000,59.9000000,826290
AFLT,D,20100729,000000,60.4000000,60.8000000,59.1500000,60.4400000,941151
AFLT,D,20100730,000000,60.0800000,60.6800000,59.9200000,60.6800000,700933
AFLT,D,20100802,000000,60.7000000,61.7000000,60.7000000,61.4500000,1187963
AFLT,D,20100803,000000,61.8000000,64.2700000,61.2400000,63.5000000,2046677
AFLT,D,20100804,000000,63.1100000,64.0000000,62.3800000,63.1500000,784871
AFLT,D,20100805,000000,63.0200000,63.7500000,62.1100000,63.0000000,435075
AFLT,D,20100806,000000,63.2500000,63.7000000,62.4700000,62.4700000,677429
AFLT,D,20100809,000000,62.7600000,63.4000000,62.5000000,62.6500000,356622
AFLT,D,20100810,000000,62.6500000,62.7300000,61.2400000,62.0000000,440162
