<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20100301,000000,1120.0000000,1137.0000000,1092.0000000,1095.0300000,45711
AKRN,D,20100302,000000,1098.9900000,1111.1000000,1055.7300000,1080.0000000,44754
AKRN,D,20100303,000000,1070.0000000,1104.9000000,1060.0100000,1100.0000000,27035
AKRN,D,20100304,000000,1099.0000000,1106.7900000,1070.9100000,1085.0400000,28619
AKRN,D,20100305,000000,1095.0000000,1113.5000000,1093.0000000,1113.0000000,20438
AKRN,D,20100309,000000,1102.3600000,1120.0000000,1091.0100000,1100.0000000,9203
AKRN,D,20100310,000000,1100.0000000,1105.6000000,1080.0000000,1090.0000000,11652
AKRN,D,20100311,000000,1091.9900000,1124.9900000,1091.9200000,1120.0200000,28347
AKRN,D,20100312,000000,1130.0000000,1164.9000000,1116.2900000,1150.4200000,41626
AKRN,D,20100315,000000,1148.0000000,1157.0000000,1131.3400000,1137.9300000,15116
AKRN,D,20100316,000000,1131.0000000,1153.0000000,1115.0100000,1133.0000000,28742
AKRN,D,20100317,000000,1145.0000000,1150.4000000,1120.0000000,1139.8900000,14115
AKRN,D,20100318,000000,1133.0000000,1148.5200000,1126.0100000,1135.5000000,13392
AKRN,D,20100319,000000,1140.0000000,1144.0000000,1100.0100000,1110.0000000,19504
AKRN,D,20100322,000000,1105.0000000,1110.7000000,1071.6700000,1103.0000000,14408
AKRN,D,20100323,000000,1109.0000000,1110.0000000,1091.0000000,1100.0000000,16696
AKRN,D,20100324,000000,1092.7600000,1108.9900000,1072.0800000,1085.0000000,11568
AKRN,D,20100325,000000,1080.0000000,1098.9500000,1065.0000000,1073.0000000,16978
AKRN,D,20100326,000000,1073.0000000,1094.0000000,1072.9900000,1088.0000000,10660
AKRN,D,20100329,000000,1091.0000000,1114.6200000,1090.0000000,1100.5500000,27943
AKRN,D,20100330,000000,1115.0000000,1118.0000000,1076.0000000,1081.1500000,23717
AKRN,D,20100331,000000,1090.0000000,1096.0000000,1056.0000000,1091.0000000,27859
AKRN,D,20100401,000000,1088.0000000,1098.9700000,1086.0100000,1090.0000000,38891
AKRN,D,20100402,000000,1084.0900000,1097.0000000,1082.0100000,1086.0000000,24654
AKRN,D,20100405,000000,1088.0000000,1169.8000000,1082.0200000,1153.0000000,91922
AKRN,D,20100406,000000,1157.3100000,1168.0000000,1135.0000000,1145.9000000,47907
AKRN,D,20100407,000000,1146.0000000,1162.0000000,1121.5000000,1130.0000000,67658
AKRN,D,20100408,000000,1125.0100000,1147.9900000,1109.3400000,1114.0000000,93797
AKRN,D,20100409,000000,1122.1300000,1180.0000000,1122.1300000,1153.2000000,101332
AKRN,D,20100412,000000,1125.1500000,1130.0000000,1095.0000000,1130.0000000,61480
AKRN,D,20100413,000000,1124.0000000,1133.0000000,1110.0000000,1110.0000000,12629
AKRN,D,20100414,000000,1116.0000000,1132.0000000,1111.0100000,1115.0000000,52133
AKRN,D,20100415,000000,1116.0000000,1116.0000000,1070.0000000,1087.0000000,44152
AKRN,D,20100416,000000,1087.0000000,1089.8900000,1050.0000000,1054.0100000,39331
AKRN,D,20100419,000000,1049.0800000,1049.0800000,985.0200000,1024.1900000,43490
AKRN,D,20100420,000000,1025.2500000,1046.2200000,1025.0000000,1035.0100000,26931
AKRN,D,20100421,000000,1039.9900000,1048.9000000,1011.7900000,1014.0000000,15267
AKRN,D,20100422,000000,1019.9700000,1021.9900000,975.0000000,987.0000000,22724
AKRN,D,20100423,000000,998.0000000,1009.0000000,985.7600000,999.9900000,21805
AKRN,D,20100426,000000,1020.0000000,1030.0000000,1005.0600000,1014.4200000,8577
AKRN,D,20100427,000000,1009.1200000,1011.0000000,995.0000000,999.0000000,40598
AKRN,D,20100428,000000,980.0100000,986.1000000,959.5300000,969.1200000,19571
AKRN,D,20100429,000000,979.0100000,998.7500000,971.0100000,986.0200000,10921
AKRN,D,20100430,000000,993.0000000,993.0000000,966.0000000,974.9500000,9713
AKRN,D,20100504,000000,979.0900000,979.0900000,930.3500000,930.3500000,32843
AKRN,D,20100505,000000,922.0000000,945.0000000,851.5100000,875.0000000,47576
AKRN,D,20100506,000000,879.0000000,880.0000000,842.0100000,851.1000000,46486
AKRN,D,20100507,000000,805.2500000,835.0100000,800.0000000,815.0000000,31305
AKRN,D,20100511,000000,869.0000000,869.0000000,812.2200000,818.9900000,24659
AKRN,D,20100512,000000,815.0000000,895.0000000,801.8800000,875.0000000,63670
AKRN,D,20100513,000000,876.0000000,889.9700000,846.2900000,863.2400000,21432
AKRN,D,20100514,000000,849.0000000,859.9000000,823.7000000,839.0000000,34572
AKRN,D,20100517,000000,824.0000000,834.0000000,800.2600000,824.8000000,33772
AKRN,D,20100518,000000,826.0000000,880.0100000,820.0100000,854.9800000,111356
AKRN,D,20100519,000000,835.0300000,844.8000000,815.0000000,828.4200000,26849
AKRN,D,20100520,000000,818.5500000,849.8000000,770.0000000,772.1000000,28233
AKRN,D,20100521,000000,772.0000000,785.7300000,735.0000000,752.0900000,46126
AKRN,D,20100524,000000,783.6800000,783.6900000,758.9400000,769.8900000,13207
AKRN,D,20100525,000000,744.2200000,750.0000000,712.0000000,724.9700000,25332
AKRN,D,20100526,000000,730.0200000,778.0000000,730.0200000,764.0000000,44260
AKRN,D,20100527,000000,761.0000000,803.3300000,761.0000000,790.0000000,38649
AKRN,D,20100528,000000,802.0000000,804.4100000,770.8900000,786.0000000,25586
AKRN,D,20100531,000000,788.9700000,800.0100000,775.0900000,790.0600000,20493
AKRN,D,20100601,000000,790.0000000,790.0000000,762.9700000,777.8500000,61769
AKRN,D,20100602,000000,750.0000000,784.9600000,750.0000000,783.4000000,50064
AKRN,D,20100603,000000,794.0000000,813.0000000,787.0000000,804.3900000,58918
AKRN,D,20100604,000000,810.0000000,814.0000000,780.8800000,797.0000000,50709
AKRN,D,20100607,000000,764.1700000,794.0000000,750.1000000,789.0000000,23875
AKRN,D,20100608,000000,785.0000000,799.0000000,770.0000000,772.9900000,33140
AKRN,D,20100609,000000,781.8100000,789.0000000,776.3700000,785.9800000,7929
AKRN,D,20100610,000000,785.9800000,790.0000000,767.0000000,781.7000000,20953
AKRN,D,20100611,000000,783.0300000,787.0000000,770.0200000,777.0000000,7684
AKRN,D,20100615,000000,780.0100000,812.8000000,777.0200000,812.0000000,23892
AKRN,D,20100616,000000,825.0000000,830.0000000,805.0400000,815.4400000,23807
AKRN,D,20100617,000000,806.0000000,848.0000000,801.0100000,832.0500000,68030
AKRN,D,20100618,000000,839.6700000,843.9900000,820.7900000,828.0000000,29900
AKRN,D,20100621,000000,832.0500000,849.3000000,832.0500000,847.9900000,45270
AKRN,D,20100622,000000,838.0000000,850.0000000,828.0000000,837.0000000,25439
