<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20100301,000000,168.7000000,170.7100000,166.3300000,168.2000000,58511166
GAZP,D,20100302,000000,167.9800000,171.2100000,167.2600000,169.5100000,50287139
GAZP,D,20100303,000000,168.8900000,171.1000000,167.1200000,170.1000000,50211947
GAZP,D,20100304,000000,169.0400000,174.4400000,168.3700000,172.2700000,72166688
GAZP,D,20100305,000000,174.0600000,177.5600000,173.7600000,176.8000000,90368301
GAZP,D,20100309,000000,176.6200000,178.0900000,174.3400000,175.4700000,58860930
GAZP,D,20100310,000000,174.8000000,177.7100000,172.6500000,173.7700000,64130850
GAZP,D,20100311,000000,173.0100000,174.6900000,170.4000000,170.6200000,49240452
GAZP,D,20100312,000000,172.4000000,174.7000000,171.4700000,172.7100000,58569566
GAZP,D,20100315,000000,171.6000000,172.7000000,168.9100000,169.2700000,45483972
GAZP,D,20100316,000000,169.9500000,171.9800000,169.5300000,171.3500000,40957005
GAZP,D,20100317,000000,173.0200000,174.2200000,170.6900000,171.9400000,58350355
GAZP,D,20100318,000000,171.2000000,173.2900000,170.3500000,170.6000000,46455714
GAZP,D,20100319,000000,171.0100000,171.9700000,166.3900000,167.0600000,60944936
GAZP,D,20100322,000000,166.3200000,169.6400000,164.8900000,169.2900000,68271396
GAZP,D,20100323,000000,170.0200000,170.3300000,165.9600000,167.6000000,58209362
GAZP,D,20100324,000000,168.0000000,168.9600000,164.7200000,164.8500000,54015845
GAZP,D,20100325,000000,165.0000000,166.0000000,160.1100000,162.3000000,95035318
GAZP,D,20100326,000000,161.9000000,162.7400000,159.4900000,161.1000000,79313075
GAZP,D,20100329,000000,160.9500000,165.1400000,160.0100000,164.5500000,57981050
GAZP,D,20100330,000000,165.3800000,170.6700000,165.2000000,170.4400000,105989776
GAZP,D,20100331,000000,170.0000000,173.8600000,169.5100000,171.5000000,96441019
GAZP,D,20100401,000000,172.4600000,176.1400000,172.3300000,175.0000000,94908340
GAZP,D,20100402,000000,176.1500000,176.7000000,173.1100000,175.3400000,46522737
GAZP,D,20100405,000000,176.3700000,176.5500000,173.8700000,175.8800000,29090638
GAZP,D,20100406,000000,175.5100000,178.8300000,174.1200000,177.1000000,107075008
GAZP,D,20100407,000000,177.4900000,178.0400000,174.7500000,174.9900000,59478100
GAZP,D,20100408,000000,174.0100000,176.9900000,172.7600000,174.5400000,67325864
GAZP,D,20100409,000000,175.9800000,176.6300000,174.0400000,175.1500000,55841194
GAZP,D,20100412,000000,176.1600000,177.4800000,174.1800000,175.9300000,50074436
GAZP,D,20100413,000000,174.7000000,175.9200000,173.7500000,174.3000000,42538315
GAZP,D,20100414,000000,175.5700000,181.6100000,175.0400000,181.4000000,103449718
GAZP,D,20100415,000000,182.8000000,185.2200000,181.4500000,185.1600000,123009078
GAZP,D,20100416,000000,182.9900000,183.8600000,179.6100000,179.9900000,70700047
GAZP,D,20100419,000000,177.0000000,177.1000000,173.3000000,174.5100000,84129689
GAZP,D,20100420,000000,175.7400000,176.9000000,174.3000000,175.1500000,63843580
GAZP,D,20100421,000000,175.9900000,176.7500000,171.2500000,173.0900000,68848602
GAZP,D,20100422,000000,172.2500000,175.5000000,169.6700000,170.7000000,73358011
GAZP,D,20100423,000000,171.5200000,175.0500000,170.8500000,175.0000000,63994764
GAZP,D,20100426,000000,176.9000000,178.6800000,175.9600000,177.9900000,58579972
GAZP,D,20100427,000000,176.6900000,176.8900000,173.6800000,175.6000000,49939901
GAZP,D,20100428,000000,171.6000000,173.5000000,169.8500000,170.5600000,83968624
GAZP,D,20100429,000000,171.7700000,175.4000000,171.2700000,174.5000000,71814184
GAZP,D,20100430,000000,175.1000000,175.1700000,169.9300000,170.0000000,55733699
GAZP,D,20100504,000000,171.4400000,172.2000000,163.9800000,164.2300000,59163748
GAZP,D,20100505,000000,164.0000000,166.5000000,161.7500000,164.2000000,68578527
GAZP,D,20100506,000000,162.9800000,167.2000000,162.7100000,163.7900000,64102854
GAZP,D,20100507,000000,160.1000000,162.2300000,153.5000000,155.0000000,85190663
GAZP,D,20100511,000000,159.9000000,161.9000000,157.6200000,160.0900000,59694316
GAZP,D,20100512,000000,159.4900000,166.7000000,158.7600000,166.0700000,70356252
GAZP,D,20100513,000000,166.9900000,168.4000000,160.8900000,162.9000000,64735522
GAZP,D,20100514,000000,161.2700000,162.8400000,158.6300000,159.8600000,50588094
GAZP,D,20100517,000000,156.8800000,162.6700000,156.3500000,161.3800000,66817017
GAZP,D,20100518,000000,162.1100000,164.1100000,160.0100000,163.2800000,56102053
GAZP,D,20100519,000000,159.8000000,160.5700000,156.0000000,157.8100000,64919897
GAZP,D,20100520,000000,157.7300000,160.0000000,150.1200000,151.0500000,79934916
GAZP,D,20100521,000000,151.0500000,153.0300000,146.7500000,150.0000000,95733911
GAZP,D,20100524,000000,151.9800000,152.9900000,147.3300000,151.0000000,58607267
GAZP,D,20100525,000000,145.7700000,147.5900000,142.0900000,143.0000000,70253198
GAZP,D,20100526,000000,145.7800000,159.2000000,144.6100000,158.4400000,118146806
GAZP,D,20100527,000000,157.9900000,159.7200000,153.7700000,158.4600000,97977981
GAZP,D,20100528,000000,159.1700000,159.7100000,154.7000000,157.8800000,72635953
GAZP,D,20100531,000000,157.5100000,160.4000000,156.6100000,159.8400000,32960892
GAZP,D,20100601,000000,158.1900000,160.3100000,154.3900000,159.2600000,66892664
GAZP,D,20100602,000000,157.2100000,164.7000000,156.6100000,163.8000000,87316760
GAZP,D,20100603,000000,166.4700000,168.1900000,164.6800000,164.9800000,74433310
GAZP,D,20100604,000000,166.1000000,167.9100000,161.1000000,163.0000000,82878818
GAZP,D,20100607,000000,158.1900000,161.4100000,157.5500000,160.5900000,60811369
GAZP,D,20100608,000000,161.5000000,163.4700000,157.0100000,157.3700000,72999094
GAZP,D,20100609,000000,159.0000000,160.6000000,157.5300000,158.2000000,53105224
GAZP,D,20100610,000000,159.1500000,159.1900000,155.7500000,157.7900000,64457880
GAZP,D,20100611,000000,158.7900000,158.8500000,154.9000000,156.4400000,41808418
GAZP,D,20100615,000000,157.1900000,159.7800000,156.2800000,159.7100000,44398281
GAZP,D,20100616,000000,161.0000000,161.2000000,157.3000000,158.8000000,47951057
GAZP,D,20100617,000000,158.4500000,160.7900000,156.3900000,156.6000000,58676660
GAZP,D,20100618,000000,157.1200000,159.4900000,156.1000000,159.4000000,49962438
GAZP,D,20100621,000000,161.7600000,163.7300000,161.3400000,162.8800000,48132216
GAZP,D,20100622,000000,161.2000000,162.1200000,158.7000000,159.4400000,42072405
GAZP,D,20100623,000000,158.0100000,159.5800000,157.0300000,158.1100000,33095432
GAZP,D,20100624,000000,159.0000000,159.3300000,154.2000000,154.7000000,45620364
GAZP,D,20100625,000000,154.4100000,156.4000000,151.7500000,152.0000000,44315718
GAZP,D,20100628,000000,153.0000000,155.8100000,152.2000000,154.0000000,34352316
GAZP,D,20100629,000000,152.1300000,152.1300000,149.0000000,149.8500000,41694402
GAZP,D,20100630,000000,149.9700000,151.2700000,147.0300000,149.1000000,43550045
GAZP,D,20100701,000000,146.9800000,147.7700000,143.0400000,143.2000000,50024329
GAZP,D,20100702,000000,144.8000000,148.2700000,144.0500000,148.2500000,41703480
GAZP,D,20100705,000000,147.9500000,149.8500000,146.8500000,148.0500000,22976578
GAZP,D,20100706,000000,149.4700000,152.7000000,148.9500000,152.3800000,35954278
GAZP,D,20100707,000000,150.6600000,153.6800000,148.3500000,153.4700000,43947848
GAZP,D,20100708,000000,154.7100000,155.1600000,151.7000000,151.9700000,42110722
GAZP,D,20100709,000000,153.0300000,154.5100000,150.8800000,154.2000000,32115196
GAZP,D,20100712,000000,153.6800000,157.6000000,152.7200000,156.1300000,41361096
GAZP,D,20100713,000000,155.8000000,160.4400000,155.1000000,159.0300000,55370167
GAZP,D,20100714,000000,160.2300000,160.8500000,157.0000000,158.1200000,38419687
GAZP,D,20100715,000000,157.8900000,161.0900000,156.5900000,157.1000000,50880075
GAZP,D,20100716,000000,157.5700000,159.1100000,155.1500000,155.1900000,40559607
GAZP,D,20100719,000000,155.0900000,158.2700000,154.0900000,156.6900000,33708371
GAZP,D,20100720,000000,157.6900000,158.7500000,154.2600000,155.4700000,35675136
GAZP,D,20100721,000000,156.8600000,159.7400000,156.4000000,158.2500000,47566305
GAZP,D,20100722,000000,157.2000000,162.4400000,157.0300000,162.3000000,49516607
GAZP,D,20100723,000000,162.5000000,162.9400000,160.0200000,160.9000000,37691958
GAZP,D,20100726,000000,162.4900000,162.8600000,161.0000000,162.1300000,28755306
GAZP,D,20100727,000000,162.1000000,165.2400000,161.4700000,164.3000000,52766610
GAZP,D,20100728,000000,164.8000000,165.4000000,161.6100000,161.7900000,38800634
GAZP,D,20100729,000000,162.3200000,167.0000000,161.7300000,165.5000000,47328215
GAZP,D,20100730,000000,164.5000000,165.0900000,160.1300000,162.8500000,48418713
GAZP,D,20100802,000000,163.9900000,169.5100000,163.9900000,168.9900000,53399936
GAZP,D,20100803,000000,169.4800000,169.5000000,165.0500000,165.9200000,45622801
GAZP,D,20100804,000000,165.6500000,169.3500000,163.6600000,167.0400000,60207530
GAZP,D,20100805,000000,167.5500000,169.2300000,165.5500000,166.9500000,53599329
GAZP,D,20100806,000000,167.6100000,169.0000000,165.2600000,166.8800000,43944735
GAZP,D,20100809,000000,167.7400000,170.6400000,167.7300000,169.6100000,51448076
GAZP,D,20100810,000000,168.7800000,169.2900000,165.6000000,166.5300000,49678565
GAZP,D,20100811,000000,165.1400000,165.5000000,162.0900000,162.3000000,42790737
GAZP,D,20100812,000000,161.8500000,163.4800000,160.1500000,162.4300000,42780897
GAZP,D,20100813,000000,163.4100000,163.8800000,160.2600000,161.2600000,35415215
GAZP,D,20100816,000000,161.1900000,163.1800000,158.9100000,163.1800000,38312614
GAZP,D,20100817,000000,163.3700000,164.7000000,162.7200000,164.2000000,35876721
GAZP,D,20100818,000000,163.9000000,164.0000000,162.2300000,162.4000000,27432359
GAZP,D,20100819,000000,163.5000000,165.1800000,160.0400000,160.1000000,43431594
GAZP,D,20100820,000000,160.1000000,161.1700000,157.8100000,158.7300000,42170720
